1472738688;48.86451;2.38295
1472738688;48.86451;2.38295
1472738732;48.86451;2.38296
1472738732;48.86451;2.38296
1472738732;48.86451;2.38296
1472738733;48.86451;2.38296
1472738737;48.86451;2.38296
1472738754;48.86451;2.38296
1472738755;48.86451;2.38296
1472738791;48.86451;2.38296
1472738792;48.86451;2.38297
1472738799;48.86451;2.38297
1472738809;48.86451;2.38297
1472738809;48.86451;2.38297
1472738837;48.86451;2.38297
1472738840;48.86451;2.38297
1472738859;48.86451;2.38297
1472738859;48.86451;2.38297
1472738881;48.86452;2.38297
1472738901;48.86452;2.38297
1472738908;48.86452;2.38297
1472738910;48.86452;2.38297
1472739123;48.86399;2.38257
1472739224;48.86311;2.38647
